,merged_dict,merged_trn_dict,merged_vld_dict,merged_tst_dict
NC,"{0.0: 28627, 1.0: 18587}","{0.0: 17313, 1.0: 11447}","{0.0: 5743, 1.0: 3816}","{0: 5571, 1: 3324}"
MCI,"{0.0: 39410, 1.0: 7804}","{0.0: 24022, 1.0: 4738}","{0.0: 7979, 1.0: 1580}","{0: 7409, 1: 1486}"
DE,"{0.0: 26391, 1.0: 20823}","{0.0: 16185, 1.0: 12575}","{0.0: 5396, 1.0: 4163}","{0: 4810, 1: 4085}"
AD,"{0.0: 30763, 1.0: 16242}","{0.0: 18780, 1.0: 9812}","{0.0: 6279, 1.0: 3239}","{0: 5704, 1: 3191}"
LBD,"{0.0: 44994, 1.0: 1930}","{0.0: 27384, 1.0: 1149}","{0.0: 9115, 1.0: 381}","{0: 8495, 1: 400}"
VD,"{0.0: 45007, 1.0: 1919}","{0.0: 27388, 1.0: 1147}","{0.0: 9094, 1.0: 402}","{0: 8525, 1: 370}"
PRD,"{0.0: 45235, 1.0: 114}","{0.0: 27316, 1.0: 68}","{0.0: 9041, 1.0: 29}","{0: 8878, 1: 17}"
FTD,"{0.0: 44067, 1.0: 3068}","{0.0: 26826, 1.0: 1877}","{0.0: 8911, 1.0: 626}","{0: 8330, 1: 565}"
NPH,"{0.0: 45211, 1.0: 138}","{0.0: 27301, 1.0: 83}","{0.0: 9042, 1.0: 28}","{0: 8868, 1: 27}"
SEF,"{0.0: 44541, 1.0: 808}","{0.0: 26897, 1.0: 487}","{0.0: 8910, 1.0: 160}","{0: 8734, 1: 161}"
PSY,"{0.0: 42649, 1.0: 2700}","{0.0: 25744, 1.0: 1640}","{0.0: 8529, 1.0: 541}","{0: 8376, 1: 519}"
TBI,"{0.0: 45084, 1.0: 265}","{0.0: 27226, 1.0: 158}","{0.0: 9017, 1.0: 53}","{0: 8841, 1: 54}"
ODE,"{0.0: 44115, 1.0: 1234}","{0.0: 26638, 1.0: 746}","{0.0: 8821, 1.0: 249}","{0: 8656, 1: 239}"
